                             title                             | count 
 Trainwreck                                                    |     3
 The Gift                                                      |     2
 G.I. Joe: Retaliation                                         |     3
 Jack Reacher                                                  |     3
 Custody                                                       |     1
 Morgan                                                        |     3
 Predestination                                                |     3
 The A-Team                                                    |     3
 Drive                                                         |     2
 How to Be Single                                              |     2
 Insurgent                                                     |     3
 Atonement                                                     |     3
 The Intern                                                    |     2
 20th Century Women                                            |     2
 Nightcrawler                                                  |     3
 The Interview                                                 |     1
 Cloud Atlas                                                   |     2
 Equals                                                        |     3
 Zodiac                                                        |     3
 The Rise of the Krays                                         |     2
 Boyka: Undisputed IV                                          |     1
 If I Stay                                                     |     3
 Anna Karenina                                                 |     2
 Men in Black 3                                                |     3
 Let's Be Cops                                                 |     1
 The Girl with All the Gifts                                   |     3
 Loving                                                        |     3
 Inferno                                                       |     3
 Teenage Mutant Ninja Turtles: Out of the Shadows              |     3
 Orphan                                                        |     3
 Kimi no na wa                                                 |     3
 Safe Haven                                                    |     3
 Man on a Ledge                                                |     3
 War Dogs                                                      |     3
 Contratiempo                                                  |     3
 Transformers                                                  |     3
 The Girl on the Train                                         |     3
 Masterminds                                                   |     3
 Mommy                                                         |     1
 The Fountain                                                  |     2
 The Lucky One                                                 |     2
 Jack Reacher: Never Go Back                                   |     3
 Zoolander 2                                                   |     1
 The Guest                                                     |     1
 Resident Evil: The Final Chapter                              |     3
 Blended                                                       |     2
 Money Monster                                                 |     3
 Moneyball                                                     |     3
 The 5th Wave                                                  |     3
 He's Just Not That Into You                                   |     3
 The Blackcoat's Daughter                                      |     2
 About Time                                                    |     3
 The Other Guys                                                |     3
 Exodus: Gods and Kings                                        |     3
 The Do-Over                                                   |     3
 The Heartbreak Kid                                            |     2
 Wreck-It Ralph                                                |     3
 Mission: Impossible - Ghost Protocol                          |     3
 The Bad Batch                                                 |     2
 Bridget Jones's Baby                                          |     2
 Spectre                                                       |     3
 The Boy Next Door                                             |     2
 Winter's Bone                                                 |     1
 Pirates of the Caribbean: At World's End                      |     3
 All Good Things                                               |     3
 Rock Dog                                                      |     3
 Mr. Nobody                                                    |     3
 Disturbia                                                     |     3
 Gold                                                          |     3
 12 Years a Slave                                              |     3
 Pompeii                                                       |     3
 The Big Short                                                 |     3
 That Awkward Moment                                           |     2
 Frantz                                                        |     3
 The Infiltrator                                               |     3
 A Cure for Wellness                                           |     3
