 movie_id | genre_id 
      297 |        7
      297 |        8
      297 |       18
      298 |        7
      298 |       13
      299 |        9
      299 |       13
      299 |       19
      300 |       10
      300 |       13
      301 |        3
      301 |        5
      301 |        9
      302 |        3
      302 |       13
      302 |       19
      303 |        1
      304 |        7
      304 |       11
      305 |        7
      305 |       11
      306 |        7
      306 |        9
      306 |       13
      307 |        6
      307 |        8
      307 |       12
      308 |        5
      308 |        9
      308 |       13
      309 |        3
      309 |        5
      309 |        9
      310 |        7
      310 |       11
      311 |        2
      311 |       13
      311 |       19
      312 |       11
      312 |       13
      313 |        1
      313 |       13
      314 |        8
      314 |       12
      315 |        6
      315 |        8
      315 |       12
      316 |        3
      316 |       13
      316 |       17
      317 |        3
      317 |        8
      317 |       17
      318 |        1
      318 |        3
      319 |        1
      319 |        5
      319 |        7
      320 |        3
      320 |        5
      320 |        9
      321 |        9
      321 |       13
      321 |       14
      322 |       13
      323 |        3
      323 |        5
      323 |        9
      324 |        3
      324 |        5
      324 |       17
      325 |       13
      325 |       19
      326 |        3
      326 |        8
      326 |       12
      327 |        1
      327 |       13
      327 |       17
      328 |        7
      328 |       13
      328 |       19
      329 |        1
      329 |        5
      329 |        9
      330 |        4
      330 |        9
      330 |       13
      331 |        7
      331 |        8
      331 |       18
      332 |        3
      332 |       13
      332 |       19
      333 |       13
      333 |       19
      334 |       10
      334 |       13
      334 |       19
      335 |        3
      335 |       13
      335 |       19
      336 |        1
      336 |       12
      336 |       13
      337 |        7
      337 |       11
      337 |       13
      338 |        2
      338 |       13
      339 |       11
      339 |       13
      340 |        7
      340 |       11
      341 |        3
      341 |        5
      341 |        9
      342 |        3
      342 |        9
      342 |       13
      343 |        3
      343 |        5
      343 |       13
      344 |        6
      344 |        8
      344 |       12
      345 |        3
      345 |        8
      346 |        3
      346 |        8
      346 |       11
      347 |        6
      347 |        8
      347 |       12
      348 |        9
      348 |       13
      349 |        1
      349 |        7
      350 |        7
      350 |       11
      350 |       12
      351 |       13
      352 |       13
      353 |        7
      353 |       13
      354 |        7
      354 |       11
      354 |       13
      355 |        5
      355 |        8
      355 |       17
      356 |        3
      356 |        8
      356 |       12
      357 |        7
      357 |       13
      358 |       11
      358 |       13
      358 |       19
      359 |        7
      359 |       12
      360 |        7
      360 |       12
      360 |       13
      361 |        7
      362 |        1
      362 |        5
      363 |        3
      363 |        8
      363 |       17
      364 |        1
      364 |        7
      364 |        8
      365 |        4
      365 |        7
      366 |       13
      367 |        8
      367 |       12
      367 |       13
      368 |        2
      368 |       13
      369 |        3
      369 |        8
      370 |        3
      370 |        8
      370 |       13
      371 |        3
      371 |       13
      371 |       17
      372 |        3
      372 |        4
      372 |       17
      373 |        3
      373 |        9
      373 |       13
      374 |        3
      374 |        9
      374 |       12
      375 |        7
      375 |       13
      375 |       19
      376 |        3
      376 |        5
      376 |        9
      377 |        9
      377 |       13
      377 |       19
      378 |        2
      378 |       13
      379 |        7
      379 |        8
      379 |       13
      380 |        3
      380 |        5
      380 |        8
      381 |        1
      381 |        7
      381 |       12
      382 |        2
      382 |       13
      383 |        1
      383 |        5
      384 |        5
      384 |       10
      384 |       13
      385 |        3
      385 |        8
      385 |       18
      386 |        3
      386 |        8
      386 |       13
      387 |        3
      387 |        6
      387 |        7
      388 |        3
      388 |        8
      388 |       13
      389 |        3
      389 |        8
      389 |       17
      390 |        3
      390 |        8
      390 |       17
      391 |        3
      391 |        7
      392 |        3
      392 |        9
      392 |       13
      393 |       13
      393 |       19
      394 |        7
      394 |       11
      395 |        7
      396 |       11
      396 |       12
      396 |       13
      397 |        3
      397 |        8
      397 |       17
      398 |        7
      399 |        7
      399 |       17
      400 |        7
      400 |       13
      401 |        3
      401 |        8
      401 |       18
      402 |        1
      403 |        3
      403 |        9
      403 |       19
      404 |        7
      404 |        8
      404 |       18
      405 |       11
      405 |       13
      406 |        4
      406 |        5
      406 |       13
      407 |        5
      407 |       10
      407 |       13
      408 |        7
      408 |        8
      408 |       18
      409 |        3
      409 |        8
      409 |       17
      410 |        7
      410 |        8
      411 |        3
      411 |        5
      412 |        7
      412 |       14
      413 |        7
      413 |        8
      413 |       18
      414 |        5
      414 |        9
      414 |       13
      415 |        3
      415 |        8
      415 |        9
      416 |        1
      416 |        7
      416 |       13
      417 |       13
      418 |        4
      418 |       11
      418 |       13
      419 |        6
      419 |        8
      419 |       12
      420 |       13
      421 |        3
      421 |        5
      421 |       13
      422 |       13
      423 |        1
      423 |        3
      423 |       11
      424 |        3
      424 |       12
      424 |       13
      425 |        3
      425 |        9
      425 |       13
      426 |       11
      426 |       12
      426 |       13
      427 |        3
      427 |        5
      427 |        9
      428 |        3
      428 |        4
      428 |        5
      429 |        1
      429 |        4
      429 |        5
      430 |        1
      430 |        3
      430 |       17
      431 |        7
      431 |       13
      432 |        7
      433 |        1
      433 |        3
      433 |        8
      434 |        3
      434 |        5
      434 |        8
      435 |        3
      435 |        9
      435 |       13
      436 |        7
      436 |        9
      436 |       13
      437 |       11
      437 |       13
      438 |        5
      438 |       13
      439 |        3
      439 |        7
      439 |        9
      440 |        7
      441 |        6
      441 |        8
      441 |       12
      442 |       11
      442 |       13
      443 |        6
      443 |       12
      443 |       18
      444 |       11
      444 |       13
      445 |        5
      446 |        1
      446 |        4
      446 |        8
      447 |        3
      447 |       17
      448 |        7
      448 |        8
      448 |       13
      449 |        3
      449 |        8
      449 |       18
      450 |        1
      450 |       13
      451 |        3
      451 |        8
      451 |       17
      452 |        7
      452 |       13
      453 |        1
      453 |        3
      453 |        4
      454 |        3
      454 |        5
      455 |        3
      455 |        8
      455 |       17
      456 |       13
      457 |        7
      457 |       11
      457 |       13
      458 |        7
      458 |        9
      459 |        7
      459 |       11
      460 |       11
      460 |       13
      461 |        5
      461 |        9
      461 |       13
      462 |        1
      462 |        4
      462 |        5
      463 |       13
      463 |       19
      464 |        4
      464 |       13
      464 |       17
      465 |        6
      465 |        7
      465 |        8
      466 |        3
      466 |        8
      466 |        9
      467 |        3
      467 |        4
      467 |        9
      468 |        4
      468 |        5
      469 |        3
      469 |        5
      469 |       17
      470 |        3
      470 |        7
      470 |        9
      471 |        9
      471 |       13
      471 |       19
      472 |       10
      472 |       13
      472 |       19
      473 |        3
      473 |        8
      473 |       17
      474 |        6
      474 |        8
      474 |       12
      475 |       10
      475 |       13
      475 |       19
      476 |        7
      476 |       13
      476 |       19
      477 |        5
      477 |       13
      478 |        1
      478 |        5
      479 |       13
      480 |       13
      480 |       20
      481 |        7
      481 |       11
      481 |       13
      482 |       11
      482 |       13
      482 |       17
      483 |        3
      483 |        9
      483 |       13
      484 |        7
      484 |       13
      485 |        3
      485 |        8
      485 |       18
      486 |        7
      486 |        8
      486 |       13
      487 |        6
      487 |        7
      487 |       13
      488 |        5
      488 |       11
      488 |       13
      489 |        7
      489 |        9
      489 |       13
      490 |        6
      490 |        7
      490 |       18
      491 |        1
      491 |       13
      491 |       17
      492 |        3
      492 |        8
      492 |       13
      493 |        1
      493 |        3
      493 |       17
      494 |        2
      494 |        3
      494 |        9
      495 |        1
      495 |       13
      495 |       17
      496 |        1
      496 |       13
      496 |       17
      497 |        3
      497 |        7
      497 |        8
      498 |        4
      498 |        5
      498 |       17
      499 |        5
      499 |        9
      499 |       13
      500 |        7
      500 |        8
      500 |       18
      501 |        3
